word,definition
WATER,"to sprinkle with a transparent, odourless, tasteless liquid [v -ED, -ING, -S]"
WATTS,"WATT, the SI unit of power, equal to a rate of working of one joule per second [n]"
WAUGH,"to bark, also WAFF [v -ED, -ING, -S]"
WAULS,"WAUL, to cry like a cat, also WAWL, WRAWL [v]"
WAURS,"WAUR, to defeat, to worst [v]"
WAVED,"WAVE, to flutter back and forth [v]"
WAVER,"to move to and fro [v -ED, -ING, -S]"
WAVES,"WAVE, to flutter back and forth [v]"
WAWLS,"WAWL, to cry like a cat, also WAUL, WRAWL [v]"
WAXED,"WAX, to treat with wax [v]"
WAXEN,made of wax; resembling wax [adj]
WAXER,one who waxes [n -S]
WAXES,"WAX, to treat with wax [v]"
WEALD,a woodland [n -S]
WEALS,"WEAL, a ridge on the skin formed by a blow, also WALE, WHEAL [n]"
WEANS,"WEAN, to take off mother's milk [v]"
WEARS,"WEAR, to turn a ship's stern to windward to alter its course [v]"
WEARY,"tired [adj WEARIER, WEARIEST, WEARILY] / to make tired [v WEARIED, WEARYING, WEARIES]"
WEAVE,"to form by crossing threads [v WOVE or WEAVED, WOVEN, WEAVING, WEAVES]"
WEBER,a unit of magnetic flux [n -S]
WEDGE,"to force apart with wood or metal [v WEDGED, WEDGING, WEDGES]"
WEDGY,"resembling a wedge [adj WEDGIER, WEDGIEST]"
WEEDS,"WEED, to remove unwanted plants [v]"
WEEDY,"resembling weeds [adj WEEDIER, WEEDIEST, WEEDILY]"
WEEKS,"WEEK, a period of seven days [n]"
WEELS,"WEEL, a whirlpool; a fish-trap, also WEIL, WIEL [n]"
WEENY,"very small [adj WEENIER, WEENIEST] / a frankfurter, a small smoked beef or pork sausage, also WEENIE, WEINER, WIENER, WIENERWURST, WIENIE [n WEENIES]"
WEEPY,"tending to weep [adj WEEPIER, WEEPIEST, WEEPILY] / a sentimental film or book, also WEEPIE [n WEEPIES]"
WEEST,"WEE, small [adj]"
WEFTS,"WEFT, to weave fabric [v]"
WEIGH,"to determine the weight of [v -ED, -ING, -S]"
WEILS,"WEIL, a whirlpool, also WEEL, WIEL [n]"
WEIRS,"WEIR, to wear [v]"
WELCH,"to fail to pay a debt, also WELSH [v -ED, -ING, -ES]"
WELDS,"WELD, to join by fusing [v]"
WELLS,"WELL, to rise to the surface and flow forth [v]"
WELSH,"to fail to pay a debt, also WELCH [v -ED, -ING, -ES]"
WELTS,"WELT, to mark with ridges [v]"
WENCH,"to consort with prostitutes [v -ED, -ING, -ES]"
WENDS,"WEND, to proceed along [v]"
WENGE,"a hardwood tree found in central and West Africa, with dark brown heartwood [n -S]"
WENNY,"resembling a wen, also WENNISH [adj WENNIER, WENNIEST]"
WESTS,"WEST, to move towards the west, also WESTER [v]"
WETLY,"WET, not dry [adv]"
WHACK,"to strike sharply [v -ED, -ING, -S]"
WHALE,"any of an order of cetaceous mammals [n -S] / to hunt whales [v WHALED, WHALING, WHALES]"
WHAMO,whammo [interj]
WHAMS,"WHAM, to hit with a loud impact [v]"
WHANG,"to beat with a whip [v -ED, -ING, -S]"
WHAPS,"WHAP, to strike forcibly, also WHOP [v]"
WHARF,"a landing stage, built esp. along the shore, for loading or unloading vessels [n WHARFS or WHARVES] / to place on a wharf; to strengthen by the building of a wharf [v -ED, -ING, -S]"
WHATS,"WHAT, the true nature of something [n]"
WHEAL,"a raised mark on the skin left by a blow, also WALE, WEAL [n -S]"
WHEAT,any cereal grass of the genus Triticum [n -S]
WHEEL,"to cause to revolve [v -ED, -ING, -S]"
WHEFT,"a flag, ensign, etc., knotted at the centre [n -S]"
WHELK,a popular name for a number of marine gastropods [n -S]
WHELP,"to give birth [v -ED, -ING, -S]"
WHENS,"WHEN, the time at which something happened [n]"
WHERE,"the place at or in which something is located or occurs, also WHAUR, WHEAR, WHEARE [n WHERES]"
WHETS,"WHET, to sharpen by friction [v]"
WHEWS,"WHEW, to utter a sound of astonishment, also WHEUGH [v]"
WHEYS,"WHEY, the watery part of milk [n]"
WHICH,what particular one [pron]
WHILE,"to pass time pleasantly [v WHILED, WHILING, WHILES]"
WHIMS,"WHIM, to turn aside [v]"
WHINE,"to utter a plaintive, high-pitched sound [v WHINED, WHINING, WHINES]"
WHINS,"WHIN, gorse, furze [n]"
WHINY,"given to whining, also WHINEY [adj WHINIER, WHINIEST]"
WHIPS,"WHIP, to strike with a lash [v]"
WHIPT,"WHIP, to strike with a lash [v]"
WHIRL,"to revolve rapidly [v -ED, -ING, -S]"
WHIRR,"to spin with a humming noise, also WHIR [v -ED, -ING, -S]"
WHIRS,"WHIR, to spin with a humming noise, also WHIRR [v]"
WHISH,"to move with a hissing sound [v -ED, -ING, -ES]"
WHISK,"to move quickly [v -ED, -ING, -S]"
WHISS,"to hiss or whistle [v WHISSED, WHISSING, WHISSES]"
WHIST,"to become silent [v -ED, -ING, -S]"
WHITE,"of the color of pure snow [adj WHITER, WHITEST, WHITELY] / to make white, whiten [v WHITED, WHITING, WHITES]"
WHITS,"WHIT, the smallest particle imaginable, also HAET [n]"
WHITY,"whitish, also WHITEY [adj WHITIER, WHITIEST] / a white person [n WHITIES]"
WHOLE,entire [adj WHOLLY] / all the parts or elements entering into and making up a thing [n -S]
WHOMP,"to defeat decisively [v -ED, -ING, -S]"
WHOOF,"to make a deep snorting sound, also WOOF [v -ED, -ING, -S]"
WHOOP,"to utter loud cries [v -ED, -ING, -S]"
WHOPS,"WHOP, to beat, also WHAP, WOP [v]"
WHORE,"to consort with prostitutes [v WHORED, WHORING, WHORES]"
WHORL,"to move in a twisted or convoluted fashion [v -ED, -ING, -S]"
WHORT,"a whortleberry, also HURTLEBERRY, WHORTLE, WHORTLEBERRY [n -S]"
WHOSE,the possessive case of who [adj]
WHOSO,whosoever [pron]
WHUMP,"to strike heavily, thump, also WHOMP [v -ED, -ING, -S]"
WHUPS,"WHUP, to defeat totally [v]"
WHYDA,"a group of African birds related to the finch, also WHIDAH, WHYDAH [n -S]"
WICKS,"WICK, a bundle of loosely twisted fibers in a candle or oil lamp, also WEEKE [n]"
WICKY,"the rowan tree, also WICKEN, WITCHEN [n WICKIES]"
WIDEN,"to make wide or wider [v -ED, -ING, -S]"
WIDER,"WIDE, broad [adj]"
WIDES,"WIDE, a wide ball in cricket [n]"
WIDOW,"to deprive of a husband [v -ED, -ING, -S]"
WIDTH,the extent from side to side [n -S]
WIELD,"to handle or use effectively [v -ED, -ING, -S]"
WIELS,"WIEL, a whirlpool, also WEEL, WEIL [n]"
WIFED,"WIFE, to take to wife [v]"
WIFES,"WIFE, to take to wife [v]"
WIFEY,"an endearment for wife, also WIFIE [n -S]"
WIFIE,"an endearment for wife, also WIFEY [n -S]"
WIFTY,"ditsy, amiably eccentric [adj WIFTIER, WIFTIEST]"
WIGAN,a stiff plain-woven cotton [n -S]
WIGGY,"crazy [adj WIGGIER, WIGGIEST]"
WIKIS,"WIKI, a collaborative website with contents editable by users [n]"
WILCO,"in signalling, an indication of compliance ('I will comply') [adj]"
WILED,"WILE, to beguile, also WYLE [v]"
WILES,"WILE, to beguile, also WYLE [v]"
WILIS,"WILI, in the ballet Giselle, the spirit of a girl who dies before her wedding day [n]"
WILLS,"WILL, to decide upon, used as an auxiliary followed by a simple infinitive to express futurity [v]"
WILLY,"to clean in a willowing-machine, also WILLEY [v WILLIED, WILLYING, WILLIES]"
WILTS,"WILT, to become limp [v]"
WIMPS,"WIMP, to act like a wimp, as in the phrase to wimp out [v]"
WIMPY,"ineffectual, also WIMPISH [adj WIMPIER, WIMPIEST]"
WINCE,"to flinch [v WINCED, WINCING, WINCES]"
WINCH,"to raise with a hoist [v -ED, -ING, -ES]"
WINDS,"a small ventilating shaft between two levels of a mine, also WINZE [n -ES]"
WINDY,"related to wind [adj WINDIER, WINDIEST, WINDILY]"
WINED,"WINE, to provide with fermented juice of the grape [v]"
WINES,"WINE, to provide with fermented juice of the grape [v]"
WINEY,"like or tasting of wine, also WINISH, WINY [adj WINIER, WINIEST]"
WINGE,"to complain fretfully, also WHEENGE, WHINGE [v WINGED, WINGEING, WINGES]"
WINGS,"WING, to travel by means of wings [v]"
WINGY,"having or resembling wings [adj WINGIER, WINGIEST]"
WINKS,"WINK, to open and close one eye quickly [v]"
WINZE,"a small ventilating shaft between two levels of a mine, also WINDS [n -S]"
WIPED,"WIPE, to rub lightly to clean or dry [v]"
WIPER,one that wipes [n -S]
WIPES,"WIPE, to rub lightly to clean or dry [v]"
WIRED,"WIRE, to fasten with threads of ductile metal [v]"
WIRER,one who wires [n -S]
WIRES,"WIRE, to fasten with threads of ductile metal [v]"
WIRRA,"an interjection expressing sorrow, also WHIRRA [interj]"
WISER,"WISE, intelligent [adj]"
WISPS,"WISP, to twist into a small bundle [v]"
WISPY,"like a wisp, also WISPISH, WISPLIKE [adj WISPIER, WISPIEST, WISPILY]"
WITCH,"to bewitch [v -ED, -ING, -ES]"
WITHE,"to bind with flexible twigs [v WITHED, WITHING, WITHES]"
WITHS,"WITH, a partition between chimney flues [n]"
WITHY,"a flexible twig [n WITHIES] / flexible and tough [adj WITHIER, WITHIEST]"
WITTY,"possessed of wit, clever [adj WITTIER, WITTIEST, WITTILY]"
WIVER,"in heraldry, a dragon with wings, the tail of a snake and two legs, also WIVERN, WYVERN [n -S]"
WIZEN,"shrivelled [adj WIZENER, WIZENEST] / to shrivel, also WEAZEN [v -ED, -ING, -S]"
WIZES,"WIZ, a very skilled person [n]"
WOADS,"WOAD, a broad-leafed plant yielding a blue dye [n]"
WOALD,yellow pigment [n -S]
WODGE,"a large or roughly-cut portion, also WADGE [n -S]"
WOFUL,"full of grief, also WAEFUL, WAESOME, WOESOME [adj WOFULLER, WOFULLEST, WOFULLY]"
WOKEN,"WAKE, to rouse from sleep [v]"
WOLDS,"WOLD, an elevated tract of open land [n]"
WOLFS,"WOLF, to devour ravenously [v]"
WOLLY,"a uniformed policeman, esp. a raw young constable [n WOLLIES]"
WOLVE,"to hunt for wolves [v WOLVED, WOLVING, WOLVES]"
WOMAN,"a female [n WOMEN] / to play the part of a woman [v WOMANED or WOMANNED, WOMANING or WOMANNING, WOMANS]"
WOMEN,"WOMAN, a female [n]"
WOMYN,"an attempt by American feminists to create a word for women without the man element, also WIMMIN [n]"
WONKS,"WONK, an expert who studies a subject or issue thoroughly and excessively [n]"
WONKY,"not working properly [adj WONKIER, WONKIEST, WONKILY]"
WONTS,"WONT, to be accustomed [v]"
WOODS,"WOOD, to cover with trees [v]"
WOODY,"like wood [adj WOODIER, WOODIEST] / a wood-paneled station wagon, also WOODIE [n WOODIES]"
WOOED,"WOO, to court; to seek the support of [v]"
WOOER,one who woos [n -S]
WOOFS,"WOOF, to bark [v]"
WOOFY,"dense in texture [adj WOOFIER, WOOFIEST]"
WOOLD,"to wind a rope or chain around [v -ED, -ING, -S]"
WOOLS,"WOOL, the fleece of sheep or goats [n]"
WOOLY,"having the texture of wool, also WOOLLY [adj WOOLIER, WOOLIEST, WOOLILY] / a garment made of wool, also WOOLIE [n WOOLIES]"
WOOPS,"to vomit [v WOOPSED, WOOPSING, WOOPSES]"
WOOPY,"a well-off older person, also WOOPIE [n WOOPIES]"
WOOSE,"a wimp, also WUSS [n -S]"
WOOSH,"to move with a hissing sound, also WHOOSH [v -ED, -ING, -ES]"
WOOTZ,a tough sharp steel made in southern India by fusing magnetic iron ore with material containing carbon [n -ES]
WOOZY,"slightly drunk or confused [adj WOOZIER, WOOZIEST, WOOZILY]"
WORDS,"WORD, to express in speech sounds [v]"
WORDY,"verbose [adj WORDIER, WORDIEST, WORDILY]"
WORKS,"WORK, to toil in mind or body [v]"
WORLD,the earth and all its inhabitants [n -S]
WORMS,"WORM, to rid of worms [v]"
WORMY,"infested with worms [adj WORMIER, WORMIEST]"
WORRY,"to cause to be anxious [v WORRIED, WORRYING, WORRIES]"
WORST,"most bad, also WARST, WAURST [adj] / to defeat, also WORSE [v -ED, -ING, -S]"
WORTH,"to happen, befall [v -ED, -ING, -S]"
WORTS,"WORT, a plant, herb or vegetable [n]"
WOULD,the desired or intended [n -S]
WOUND,"to inflict an injury upon [v -ED, -ING, -S]"
WOVEN,a woven fabric [n -S]
WOWED,"WOW, to impress or amaze [v]"
WOWEE,"an interjection, an intensification of wow [interj]"
WOXEN,"WAX, to treat with wax [v]"
WRACK,"to wreck [v -ED, -ING, -S]"
WRAPS,"WRAP, to enclose [v]"
WRAPT,"WRAP, to enclose [v]"
WRATE,"WRITE, to form characters on a surface with an instrument [v]"
WRECK,"to cause the ruin of, also WRACK [v -ED, -ING, -S]"
WRENS,"WREN, a small songbird [n]"
WREST,"to take away by force, also WRAST [v -ED, -ING, -S]"
WRICK,"to twist or sprain [v -ED, -ING, -S]"
WRIED,"WRY, to give a twist to [v]"
WRIER,"WRY, twisted [adj]"
WRIES,"WRY, to give a twist to [v]"
WRING,"to twist so as to compress [v WRINGED, WRUNG, WRINGING, WRINGS]"
WRIST,"the junction between the hand and forearm [n -S] / in ice-hockey, to sweep the puck alongside the ice before shooting [v -ED, -ING, -S]"
WRITS,"WRIT, a written legal order [n]"
WROKE,"WREAK, to effect, bring about [v]"
WRONG,"not according to what is right, proper, or correct [adj WRONGER, WRONGEST, WRONGLY] / to treat injuriously or unjustly [v -ED, -ING, -S]"
WROTE,"WRITE, to form characters on a surface with an instrument [v]"
WROTH,"wrathful, also WROTHFUL [adj]"
WRUNG,"WRING, to twist so as to compress [v]"
WRYER,"WRY, twisted [adj]"
WRYLY,"WRY, twisted [adv]"
WUDDY,a large loop at the end of a rope [n WUDDIES]
WUSES,"WUS, a Welsh term used in addressing a companion [n]"
WUSSY,"wimpish [adj WUSSIER, WUSSIEST] / a wimp [n WUSSIES]"
WYLED,"WYLE, to beguile, also WILE [v]"
WYLES,"WYLE, to beguile, also WILE [v]"
WYNDS,"WYND, a narrow alley [n]"
WYNNS,"WYNN, a rune, having the value of modern English W, also WYN [n]"
XEBEC,"a small, three-masted Mediterranean vessel with both square and triangular sails, also ZEBEC, ZEBECK [n -S]"
XENIA,the effect on a hybrid strain produced by transferring pollen from one strain to the seed of another strain [n -S]
XENIC,"of a culture medium, growing with unknown other microbiota [adj]"
XENON,a heavy inert gas [n -S]
XERIC,requiring only a small amount of moisture [adj XERICALLY]
XERUS,an African ground squirrel [n -ES]
XYLAN,a substance found in cell walls of plants [n -S]
XYLIC,relating to xylem [adj]
XYLOL,"a flammable hydrocarbon, also XYLENE [n -S]"
XYLYL,a chemical compound found in coal-tar [n -S]
YACHT,"a vessel propelled by sail or power, used esp. for pleasure cruising, racing, etc. [n -S] / to sail or cruise in a yacht [v -ED, -ING, -S]"
YACKS,"YACK, to talk persistently, also YAK [v]"
YAGES,"YAGE, a tropical vine of the Amazon region, aka ayahuasca [n]"
YAHOO,"in cricket, an exuberant attempt to hit the ball hard, often with disappointing results [n -S]"
YAIRD,"a yard, a garden [n -S]"
YAKOW,an animal crossbred from a male yak and a domestic cow [n -S]
YALES,"YALE, a fabulous heraldic beast [n]"
YANKS,"YANK, to pull with a jerk [v]"
YAPOK,"the South American opossum, also YAPOCK [n -S]"
YAPON,"a bushy evergreen shrub of the holly genus, also YAUPON, YOUPON, YUPON [n -S]"
YAPPS,"YAPP, a limp leather binding [n]"
YAPPY,"given to yapping [adj YAPPIER, YAPPIEST] / a young aspiring professional; a young affluent parent, also YAPPIE [n YAPPIES]"
YARDS,"YARD, to enclose in a yard, also YAIRD [v]"
YARNS,"YARN, to tell a long story [v]"
YARRS,"YARR, to growl or snarl [v]"
YARTO,"heart, used as term of endearment in the Shetlands, also JARTA, YARTA [n -S]"
YAUPS,"YAUP, to yelp or bark, also YAWP [v]"
YAWED,"YAW, of e.g. a plane, to move from right to left in a horizontal plane [v]"
YAWEY,"pertaining to the disease yaws, also YAWY [adj YAWIER, YAWIEST]"
YAWLS,"YAWL, to howl [v]"
YAWNS,"YAWN, to open the mouth in a large gape [v]"
YAWNY,"full of yawns [adj YAWNIER, YAWNIEST]"
YAWPS,"YAWP, to cry hoarsely or harshly, also YAUP [v]"
YBORE,"BEAR, to endure [v]"
YCLAD,"CLOTHE, to provide with clothing [v]"
YCLED,"CLOTHE, to provide with clothing [v]"
YCOND,"CON, to study carefully [v]"
YDRAD,"DREAD, to fear greatly [v]"
YDRED,"DREAD, to fear greatly [v]"
YEAHS,"YEAH, an expression of yes, also YEH [n]"
YEALM,"to prepare straw for thatching, also YELM [v -ED, -ING, -S]"
YEANS,"YEAN, esp. of a sheep, to bring forth young, also EAN [v]"
YEARN,"to long for [v -ED, -ING, -S]"
YEARS,"YEAR, the time taken by the earth to orbit the sun [n]"
YEAST,"to ferment [v -ED, -ING, -S]"
YECCH,something disgusting [n -S]
YECHS,"YECH, something disgusting, also YECCH [n]"
YECHY,"disgusting [adj YECHIER, YECHIEST]"
YEESH,an interjection used to express frustration [interj]
YEGGS,"YEGG, a burglar esp. of safes, also YEGGMAN [n]"
YELKS,"YELK, the yellow, fatty part of an egg, also YOLK [n]"
YELLS,"YELL, to cry out loudly [v]"
YELPS,"YELP, to utter a sharp cry [v]"
YERKS,"YERK, to tie with a jerk, also YIRK [v]"
YESES,"YES, to give an affirmative reply to [v]"
YESTY,"like yeast, also YEASTY [adj]"
YEUKY,"itchy [adj YEUKIER, YEUKIEST]"
YEXED,"YEX, to hiccup, also YESK [v]"
YEXES,"YEX, to hiccup, also YESK [v]"
YIPES,"used to express fear or surprise, also YIPE [interj]"
YIPPY,"a member of a radical political group founded in 1967 with ideals based on those of the hippies, also YIPPIE [n YIPPIES]"
YIRKS,"YIRK, to draw tight [v]"
YIRRS,"YIRR, to snarl [v]"
YLEMS,"YLEM, a form of matter hypothesized by proponents of the big bang theory to have existed before the formation of the chemical elements [n]"
YMOLT,"MELT, to change from a solid to a liquid state by heat [v]"
YOCKS,"YOCK, to laugh boisterously also YOK [v]"
YOGEE,"one who practises yoga, also YOGI, YOGIN [n -S]"
YOGHS,"YOGH, the Middle English letter representing a velar or partial fricative [n]"
YOGIC,relating to yoga [adj]
YOGIN,"one who practices yoga, also YOGEE, YOGI [n -S]"
YOICK,"to cry out an old foxhunting cry, also YOICKS [v -ED, -ING, -S]"
YOKED,"YOKE, to join (animals, slaves) together with a wooden frame [v]"
YOKEL,a country bumpkin [n -S]
YOKER,"to spit [v -ED, -ING, -S]"
YOKES,"YOKE, to join (animals, slaves) together with a wooden frame [v]"
YOLKS,"YOLK, the yellow, fatty part of an egg, also YELK [n]"
YOLKY,"like yolk [adj YOLKIER, YOLKIEST]"
YOMIM,"YOM, a Jewish day, esp. in a religious context [n]"
YOMPS,"YOMP, to march with heavy equipment over difficult terrain; to cover a certain distance in this way [v]"
YONIC,pertaining to the yoni [adj]
YOOFS,"YOOF, youth, young people [n]"
YOOPS,"YOOP, a sobbing sound [n]"
YORES,"YORE, a long time ago [n]"
YORKS,"YORK, to bowl a batsman with a yorker [v]"
YOUNG,"born recently [adj YOUNGER, YOUNGEST, YOUNGLY] / the young of a species [n -S]"
YOURS,"a possessive form of the pronoun you, also YOURN [pron]"
YOUTH,a young person [n -S]
YOWED,"YOW, to howl, also YOWL [v]"
YOWLS,"YOWL, to howl, esp. of a wolf, also YOW [v]"
YOWZA,an interjection used to express surprise [interj]
YRENT,"REND, to tear apart forcibly [v]"
YRIVD,"RIVE, to tear apart [v]"
YRNEH,a unit of reciprocal inductance [n -S]
YTOST,"TOSS, to throw lightly [v]"
YUCCH,"an interjection expressing disgust, also YECCH, YECH, YUCH [interj]"
YUCKS,"YUCK, to laugh loudly, also YOCK, YOK, YUK [v]"
YUCKY,"messy or disgusting [adj YUCKIER, YUCKIEST]"
YULES,"YULE, Christmas or Christmastide, also YULETIDE [n]"
YUMMY,"delicious [adj YUMMIER, YUMMIEST] / something delicious [n YUMMIES]"
YUMPS,"YUMP, in rally-driving, to leave the ground when going over a ridge or crest [v]"
YUPON,"a bushy evergreen shrub of the holly genus, also YAPON, YAUPON, YOUPON [n -S]"
YUPPY,"a young professional person working in the city, also YUPPIE [n YUPPIES]"
ZAIRE,a monetary unit of central Africa [n -S]
ZAMIA,a genus of cycads [n -S]
ZANTE,the wood of the European smoke-tree [n -S]
ZATIS,"ZATI, the bonnet-monkey [n]"
ZAXES,"ZAX, a chopper for trimming slate, also SAX, ZEX [n]"
ZEALS,"ZEAL, enthusiasm [n]"
ZEBEC,"a small, three-masted Mediterranean vessel with both square and triangular sails, also XEBEC, ZEBECK [n -S]"
ZEBRA,an African mammal related to the horse [n -S]
ZEINS,"ZEIN, a protein found in Indian corn [n]"
ZERKS,"ZERK, a fitting on a bearing, axle, etc. by which lubricant can be introduced under pressure [n]"
ZEROS,"ZERO, to set at or adjust to zero [v]"
ZESTS,"ZEST, to give zest to [v]"
ZESTY,"full of zest [adj ZESTIER, ZESTIEST, ZESTILY]"
ZEXES,"ZEX, a chopper for trimming slate, also SAX, ZAX [n]"
ZILCH,nothing [n -ES]
ZILLS,"ZILL, one of a pair of finger cymbals [n]"
ZINCS,"ZINC, to coat with a metallic element [v]"
ZINCY,"of or like zinc, also ZINCKY, ZINKY [adj ZINCIER or ZINCKIER, ZINCIEST or ZINCKIEST]"
